fuzzer,domain-name,dns-a,dns-aaaa,dns-mx,dns-ns,geoip-country,whois-created,whois-updated,ssdeep-score
Bitsquatting,amaznn.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,amazmn.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,amazkn.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,amazgn.com,185.53.178.6,,mail.h-email.net,ns1.parkingcrew.net,,,,
Bitsquatting,amazoo.com,69.36.181.102,,amazoo.com,ns1.west-datacenter.net,,,,
Bitsquatting,amazol.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,amazoj.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Bitsquatting,amazof.com,,,,dns-external-master.amazon.com,,,,
Homoglyph,amaz0n.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Homoglyph,anazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Homoglyph,amazor.com,69.64.146.224,,,ns1ntw.name.com,,,,
Homoglyph,annazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Homoglyph,amazom.com,174.129.240.167,,,dns-external-master.amazon.com,,,,
Homoglyph,arrazon.com,213.186.33.2,,mx1.ovh.net,dns.ovh.net,,,,
Homoglyph,arnazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Hyphenation,a-mazon.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Hyphenation,am-azon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Hyphenation,ama-zon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Hyphenation,amaz-on.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Hyphenation,amazo-n.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amsazon.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Insertion,amyazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amazqon.com,103.224.182.214,,mx92.m1bp.com,ns1.above.com,,,,
Insertion,amjazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,anmazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,ama3zon.com,,,,,,,,
Insertion,ajmazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amayzon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,apmazon.com,103.224.182.207,,mx92.m1bp.com,ns1.above.com,,,,
Insertion,amazxon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,am1azon.com,,,,,,,,
Insertion,ama2zon.com,,,,,,,,
Insertion,amwazon.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Insertion,amazokn.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,ama6zon.com,,,,,,,,
Insertion,amazuon.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Insertion,amnazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amazpon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amaz6on.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Insertion,amazton.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amaz9on.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,am2azon.com,,,,,,,,
Insertion,amazson.com,54.235.212.68,,mail.amazson.com,ns1.pql.net,,,,
Insertion,ampazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,ama1zon.com,,,,,,,,
Insertion,amlazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amawzon.com,184.168.221.15,,smtp.secureserver.net,ns11.domaincontrol.com,,,,
Insertion,amaz7on.com,,,,,,,,
Insertion,amazo9n.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,almazon.com,208.91.197.128,,p.webcom.ctmail.com,ns45.worldnic.com,,,,
Insertion,amazlon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amaszon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amatzon.com,,,,dns-external-master.amazon.com,,,,
Insertion,amazopn.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amahzon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amazgon.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Insertion,amaz0on.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amazoin.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amazaon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amaezon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amkazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amqazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amaxzon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amauzon.com,,,,dns-external-master.amazon.com,,,,
Insertion,amazzon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,akmazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amazhon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amazion.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amaazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amazoln.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amagzon.com,185.53.179.8,,mail.h-email.net,ns1.parkingcrew.net,,,,
Insertion,amazeon.com,208.73.210.202,,,ns1.dsredirection.com,,,,
Insertion,amaz3on.com,,,,,,,,
Insertion,amzazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amazo0n.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amaqzon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Insertion,amaz2on.com,,,,,,,,
Insertion,ama7zon.com,,,,,,,,
Insertion,amazkon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Omission,amaon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Omission,mazon.com,184.168.221.21,,mazon-com.mail.protection.outlook.com,ns05.domaincontrol.com,,,,
Omission,amzon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Omission,aazon.com,66.63.171.125,,mail.aazon.com,ns1.colo.com,,,,
Omission,amazo.com,144.76.0.242,,,ns1.ndsplitter.com,,,,
Omission,amazn.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Repetition,aamazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Repetition,amazoon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Repetition,ammazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,amazln.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,amwzon.com,,,,dns-external-master.amazon.com,,,,
Replacement,ajazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,am2zon.com,,,,,,,,
Replacement,amaton.com,,,,,,,,
Replacement,amzzon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,ama3on.com,50.63.202.62,,smtp.secureserver.net,ns03.domaincontrol.com,,,,
Replacement,amaaon.com,72.52.4.122,,localhost,ns1.sedoparking.com,,,,
Replacement,ama2on.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,ama7on.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Replacement,amahon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,ymazon.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Replacement,amagon.com,208.91.197.39,,,sk.s5.ans1.ns121.ztomy.com,,,,
Replacement,wmazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,amazin.com,,,,,,,,
Replacement,amaeon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,apazon.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Replacement,amazpn.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,am1zon.com,,,,,,,,
Replacement,amaz9n.com,,,,dns-external-master.amazon.com,,,,
Replacement,amazoh.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,ama6on.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Replacement,amyzon.com,72.52.10.14,,,ns1.markmonitor.com,,,,
Replacement,amszon.com,,,,dns-external-master.amazon.com,,,,
Replacement,amazob.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,1mazon.com,172.217.9.243,2607:f8b0:4006:801::2013,,ns-us.1and1-dns.com,,,,
Replacement,amason.com,212.47.223.137,,smx1.web-hosting.com,dns1.namecheaphosting.com,,,,
Replacement,amauon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,smazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,zmazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,amaqon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Replacement,2mazon.com,,,,,,,,
Replacement,akazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Subdomain,a.mazon.com,,,,,,,,
Subdomain,am.azon.com,,,,,,,,
Subdomain,ama.zon.com,184.168.221.104,,,ns1.afternic.com,,,,
Subdomain,amaz.on.com,,,,,,,,
Subdomain,amazo.n.com,,,,,,,,
Transposition,maazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Transposition,aamzon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Transposition,amzaon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Transposition,amaozn.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Transposition,amazno.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Various,wwamazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Various,wwwamazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Various,www-amazon.com,72.21.206.80,,,dns-external-master.amazon.com,,,,
Various,amazoncom.com,208.73.210.202,,,ns1.dsredirection.com,,,,
